Name,Hash,Id,Tag,Rarity,Tier,Type,Source,Category,Element,Ammo,Power,Archetype,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Holofoil,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Persistence,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Ammo Generation,Heat Generated,Cooling Efficiency,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14,Perks 15,Perks 16,Perks 17,Perks 18,Perks 19
Explosive Personality,4096943616,"""6917529855893616158""",keep,Legendary,0,Grenade Launcher,psiops,Energy,Solar,special,10,Wave Frame,Reload Speed,10,Vault,false,false,false,5,16,,71,67,0,0,13,52,94,0,25,72,88,1,85,0,0,0,0,0,0,0,0,1,62,0,0,crafted,23,2079,,,,Wave Frame*,Quick Launch*,High-Velocity Rounds*,Auto-Loading Holster*,Disruption Break*,Land Tank*,Kill Tracker,Iris Gossamer*,,,,,,,,,,,,
Fatebringer (Timelost),1216319404,"""6917529850819725787""",archive,Legendary,0,Hand Cannon,vaultofglass,KineticSlot,Kinetic,primary,10,Adaptive Frame,Stability,10,Vault,true,false,false,4,14,,100,84,84,59,14,0,0,0,67,140,49,10,68,0,0,0,0,0,0,0,0,10,53,0,0,false,0,205,,,,Adaptive Frame*,Arrowhead Brake*,Polygonal Rifling,Accurized Rounds*,Extended Mag,Tunnel Vision,Explosive Payload*,Kill Clip,Firefly*,Kill Tracker,Masterworked: Stability*,Amethyst Veil*,,,,,,,,
Fatebringer (Timelost),1216319404,"""6917529859994368490""",archive,Legendary,0,Hand Cannon,vaultofglass,KineticSlot,Kinetic,primary,10,Adaptive Frame,Reload Speed,4,Vault,true,false,false,4,14,,100,84,84,56,14,0,0,0,57,140,50,10,65,0,0,0,0,0,0,0,0,10,53,0,0,false,0,8,,,,Adaptive Frame*,Arrowhead Brake*,Polygonal Rifling,Accurized Rounds*,Flared Magwell,Thresh,Explosive Payload*,Frenzy,Firefly*,Kill Tracker,Tier 4: Reload Speed*,,,,,,,,,
Faustus Decline,1663482635,"""6917530133332786342""",archive,Legendary,3,Sidearm,campaign,KineticSlot,Stasis,primary,300,Lightweight Frame,Reload Speed,3,Vault,true,false,false,8,27,,100,72,43,25,12,0,0,0,52,360,53,14,63,0,0,0,0,0,0,0,0,26,50,0,0,false,0,0,,,,Lightweight Frame*,Chambered Compensator*,Corkscrew Rifling,Alloy Magazine*,Light Mag,Rimestealer*,Rangefinder,Headstone*,Sword Logic,Bray Legacy*,Kill Tracker,Tier 3: Reload Speed*,,,,,,,,
Faustus Decline,1663482635,"""6917530140823058840""",keep,Legendary,4,Sidearm,campaign,KineticSlot,Stasis,primary,405,Lightweight Frame,Stability,10,Vault,true,false,false,8,27,,100,72,43,50,12,0,0,0,56,360,54,14,63,0,0,0,0,0,0,0,0,26,50,0,0,false,0,2,,,PVP,Lightweight Frame*,Extended Barrel*,Fluted Barrel,Alloy Magazine*,Armor-Piercing Rounds,Rimestealer,Hip-Fire Grip*,Sword Logic,Kill Clip*,Bray Legacy*,Kill Tracker,Enhanced Range*,Masterworked: Stability*,Primer*,,,,,,
Faustus Decline,1663482635,"""6917530142815718639""",keep,Legendary,4,Sidearm,campaign,KineticSlot,Stasis,primary,430,Lightweight Frame,Range,10,Vault,true,false,false,8,27,,100,72,43,49,12,0,0,0,57,360,36,17,68,0,0,0,0,0,0,0,0,36,50,0,0,false,0,36,,,PVP,Lightweight Frame*,Chambered Compensator*,Polygonal Rifling,Extended Mag*,Ricochet Rounds,Killing Wind,Hip-Fire Grip*,Snapshot Sights,Offhand Strike*,Bray Legacy*,Kill Tracker,Enhanced Range*,Masterworked: Range*,,,,,,,
Faustus Decline,1663482635,"""6917530145336611324""",archive,Legendary,4,Sidearm,campaign,KineticSlot,Stasis,primary,425,Lightweight Frame,Range,1,Vault,true,false,false,8,27,,100,72,43,26,12,0,0,0,42,360,52,16,80,0,0,0,0,0,0,0,0,26,50,0,0,false,0,0,,,,Lightweight Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Appended Mag*,Ricochet Rounds,Perpetual Motion*,Demolitionist,Headstone*,Offhand Strike,Bray Legacy*,Kill Tracker,Tier 1: Range*,,,,,,,,
Faustus Decline,1663482635,"""6917530146442831644""",archive,Legendary,5,Sidearm,campaign,KineticSlot,Stasis,primary,441,Lightweight Frame,Stability,3,Vault,true,false,false,8,27,,100,72,43,36,12,0,0,0,45,360,32,17,59,0,0,0,0,0,0,0,0,36,50,0,0,false,0,0,,,,Lightweight Frame*,Chambered Compensator,Extended Barrel*,Extended Mag*,Light Mag,Lone Wolf,Rangefinder,Hip-Fire Grip*,Sword Logic,Precision Instrument,Offhand Strike*,Bray Legacy*,Kill Tracker,Tier 3: Stability*,Achronal Faustus Decline*,Sparks Everlasting*,,,,
Faustus Decline,1663482635,"""6917530146613248212""",archive,Legendary,5,Sidearm,campaign,KineticSlot,Stasis,primary,454,Lightweight Frame,Reload Speed,5,Vault,true,false,false,8,27,,100,72,43,25,12,0,0,0,42,360,37,17,80,0,0,0,0,0,0,0,0,36,50,0,0,false,0,0,,,,Lightweight Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Extended Mag*,Ricochet Rounds,Lone Wolf*,Rimestealer,Demolitionist,Headstone*,Snapshot Sights,Kill Clip,Bray Legacy*,Kill Tracker,Tier 5: Reload Speed*,Achronal Faustus Decline*,Sparks Everlasting*,,,,
Faustus Decline,1663482635,"""6917530147121938135""",archive,Legendary,5,Sidearm,campaign,KineticSlot,Stasis,primary,464,Lightweight Frame,Range,2,Vault,true,false,false,8,27,,100,72,43,27,12,0,0,0,58,360,52,16,64,0,0,0,0,0,0,0,0,26,50,0,0,false,0,0,,,,Lightweight Frame*,Chambered Compensator*,Full Bore,Appended Mag*,High-Caliber Rounds,Killing Wind*,Rangefinder,Demolitionist,Snapshot Sights*,Kill Clip,Precision Instrument,Bray Legacy*,Kill Tracker,Tier 2: Range*,Achronal Faustus Decline*,Sparks Everlasting*,,,,
Festival Flight,4019651319,"""6917530137678714369""",archive,Legendary,4,Grenade Launcher,events,KineticSlot,Strand,special,326,Area Denial Frame,Handling,4,Vault,true,false,false,8,27,Solstice,80,74,0,0,13,100,75,0,43,72,75,1,68,0,0,0,0,0,0,0,0,4,79,0,0,false,0,0,suros,,,Area Denial Frame*,Confined Launch*,Linear Compensator,High-Velocity Rounds*,Implosion Rounds,Envious Arsenal*,Slice,One for All*,Attrition Orbs,Dream Work*,Suros Synergy,Kill Tracker,Tier 4: Handling*,,,,,,,
Festival Flight,3977654524,"""6917530138066436086""",archive,Legendary,5,Grenade Launcher,,KineticSlot,Strand,special,343,Area Denial Frame,Reload Speed,1,Vault,true,false,true,8,27,Solstice,80,74,0,0,13,100,90,0,33,72,76,1,64,0,0,0,0,0,0,0,0,4,69,0,0,false,0,0,suros,,,Area Denial Frame*,Linear Compensator*,Quick Launch,High-Velocity Rounds*,Implosion Rounds,Transcendent Moment*,Envious Arsenal,Slice,Binary Orbit*,Attrition Orbs,Elemental Honing,Dream Work*,Suros Synergy,Kill Tracker,Tier 1: Reload Speed*,Sparks Everlasting*,,,,
Festival Flight,4019651319,"""6917530140128396453""",archive,Legendary,5,Grenade Launcher,events,KineticSlot,Strand,special,403,Area Denial Frame,Reload Speed,3,Vault,true,false,false,8,27,Solstice,80,74,0,0,13,100,95,0,28,72,78,1,80,0,0,0,0,0,0,0,0,4,69,0,0,false,0,0,suros,,,Area Denial Frame*,Linear Compensator,Quick Launch*,High-Velocity Rounds*,Implosion Rounds,Blast Distributor*,Recycled Energy,Slice,Binary Orbit*,Attrition Orbs,Elemental Honing,Dream Work*,Suros Synergy,Kill Tracker,Tier 3: Reload Speed*,Achronal Festival Flight*,Sparks Everlasting*,,,
Festival Flight,4019651319,"""6917530140815131102""",archive,Legendary,5,Grenade Launcher,events,KineticSlot,Strand,special,404,Area Denial Frame,Handling,2,Vault,true,false,false,8,27,Solstice,80,74,0,0,13,100,80,0,28,72,75,1,61,0,0,0,0,0,0,0,0,4,69,0,0,false,0,0,suros,,,Area Denial Frame*,Volatile Launch*,Hard Launch,High-Velocity Rounds*,Implosion Rounds,Blast Distributor*,Demolitionist,Recycled Energy,Frenzy*,One for All,Elemental Honing,Dream Work*,Suros Synergy,Kill Tracker,Tier 2: Handling*,Achronal Festival Flight*,Sparks Everlasting*,,,
Final Warning,3121540812,"""6917530014308468601""",keep,Exotic,0,Sidearm,exoticquest,KineticSlot,Strand,primary,10,All at Once,,,Vault,true,false,false,6,20,,60,88,35,45,12,0,0,0,66,450,48,21,47,1000,0,0,0,0,0,0,0,27,50,0,0,false,0,847,,,,All at Once*,Hammer-Forged Rifling*,Flared Magwell*,Pick Your Poison*,Combat Grip*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
Finite Impactor,1917334929,"""6917530146601704254""",archive,Legendary,3,Hand Cannon,ironbanner,Energy,Solar,primary,454,Adaptive Frame,Range,1,Vault,true,false,false,8,27,,100,74,84,47,14,0,0,0,51,140,65,10,65,0,0,0,0,0,0,0,0,16,49,0,0,false,0,0,suros,,,Adaptive Frame*,Arrowhead Brake*,Flared Magwell*,Enlightened Action*,Precision Instrument*,Skulking Wolf*,Suros Synergy,Kill Tracker,Tier 1: Range*,,,,,,,,,,,
Finite Impactor,1917334929,"""6917530147185422227""",keep,Legendary,5,Hand Cannon,ironbanner,Energy,Solar,primary,464,Adaptive Frame,Reload Speed,1,Vault,true,false,false,8,27,,99,74,84,61,14,0,0,0,54,140,51,10,55,0,0,0,0,0,0,0,0,16,49,0,0,false,0,0,suros,,,Adaptive Frame*,Fluted Barrel,Smallbore*,High-Caliber Rounds*,Light Mag,Fragile Focus*,Heal Clip,Killing Wind,Precision Instrument*,Magnificent Howl,Moving Target,Skulking Wolf*,Suros Synergy,Kill Tracker,Tier 1: Reload Speed*,Ferrous Finite Impactor*,Sparks Everlasting*,,,
Fire and Forget,2272041093,"""6917529938058613829""",keep,Legendary,0,Linear Fusion Rifle,rasputin,Power,Stasis,heavy,10,Adaptive Burst,,,Vault,false,false,false,5,19,,75,60,41,35,25,0,0,0,54,0,22,6,27,533,0,0,0,0,0,0,0,7,33,0,0,crafted,2,14,veist,,,Adaptive Burst*,Polygonal Rifling*,Enhanced Battery*,Rangefinder*,Frenzy*,Ambush*,Veist Stinger,Kill Tracker,,,,,,,,,,,,
Forbearance,613334176,"""6917529859565477302""",keep,Legendary,0,Grenade Launcher,vowofthedisciple,Energy,Arc,special,10,Wave Frame,Velocity,10,Vault,false,false,false,5,16,,73,79,0,0,13,52,100,0,29,72,88,1,87,0,0,0,0,0,0,0,0,4,67,0,0,crafted,81,4238,,,,Wave Frame*,Quick Launch*,High-Velocity Rounds*,Ambitious Assassin*,Chain Reaction*,Souldrinker*,Kill Tracker,Amrita's Dream*,,,,,,,,,,,,
Forgiveness,1552443158,"""6917530141933733198""",archive,Legendary,3,Sidearm,trials,Energy,Arc,primary,200,Heavy Burst,Range,10,Vault,true,false,false,8,27,,96,90,56,64,12,0,0,0,55,325,27,24,57,0,0,0,0,0,0,0,0,25,33,0,0,false,0,27,,,,Heavy Burst*,Fluted Barrel*,Smallbore,Alloy Magazine*,Appended Mag,Offhand Strike,Tap the Trigger*,Kill Clip*,Loose Change,Fleet Footed*,Roar of Battle,Kill Tracker,Ballistics*,Masterworked: Range*,,,,,,
Forgiveness,1552443158,"""6917530142409194040""",archive,Legendary,4,Sidearm,trials,Energy,Arc,primary,412,Heavy Burst,Stability,1,Vault,true,false,false,8,27,,96,90,56,57,12,0,0,0,53,325,35,24,44,0,0,0,0,0,0,0,0,25,33,0,0,false,0,1,,,,Heavy Burst*,Chambered Compensator,Corkscrew Rifling*,Flared Magwell,Light Mag*,Offhand Strike,Zen Moment*,Headseeker,Kill Clip*,Fleet Footed*,Roar of Battle,Kill Tracker,Tier 1: Stability*,,,,,,,
Forgiveness,1552443158,"""6917530143417284742""",archive,Legendary,3,Sidearm,trials,Energy,Arc,primary,416,Heavy Burst,Reload Speed,3,Vault,true,false,false,8,27,,100,90,56,45,12,0,0,0,41,325,27,28,49,0,0,0,0,0,0,0,0,25,33,0,0,false,0,2,,,,Heavy Burst*,Arrowhead Brake*,Chambered Compensator,Appended Mag*,Light Mag,Tap the Trigger*,Zen Moment,Precision Instrument*,Surrounded,Fleet Footed*,Roar of Battle,Kill Tracker,Tier 3: Reload Speed*,,,,,,,
Forgiveness,1552443158,"""6917530143727820080""",archive,Legendary,4,Sidearm,trials,Energy,Arc,primary,417,Heavy Burst,Reload Speed,1,Vault,true,false,false,8,27,,96,90,56,60,12,0,0,0,32,325,7,30,35,0,0,0,0,0,0,0,0,35,33,0,0,false,0,0,,,,Heavy Burst*,Full Bore*,Polygonal Rifling,Extended Mag*,High-Caliber Rounds,Offhand Strike*,Proximity Power,Desperate Measures*,Precision Instrument,Fleet Footed*,Roar of Battle,Kill Tracker,Tier 1: Reload Speed*,,,,,,,
Forgiveness,1552443158,"""6917530143785441694""",archive,Legendary,3,Sidearm,trials,Energy,Arc,primary,417,Heavy Burst,Range,5,Vault,true,false,false,8,27,,96,90,56,60,12,0,0,0,51,325,39,24,39,0,0,0,0,0,0,0,0,25,33,0,0,false,0,0,,,,Heavy Burst*,Corkscrew Rifling,Hammer-Forged Rifling*,Extended Mag,Flared Magwell*,Voltshot,Tap the Trigger*,Headseeker*,Surrounded,Fleet Footed*,Roar of Battle,Kill Tracker,Tier 5: Range*,,,,,,,
Forgiveness,1552443158,"""6917530145918228665""",archive,Legendary,4,Sidearm,trials,Energy,Arc,primary,447,Heavy Burst,Reload Speed,2,Vault,true,false,false,8,27,,100,90,56,45,12,0,0,0,52,325,26,24,35,0,0,0,0,0,0,0,0,25,33,0,0,false,0,0,,,,Heavy Burst*,Chambered Compensator*,Extended Barrel,Alloy Magazine*,Flared Magwell,Offhand Strike*,Zen Moment,Desperate Measures*,Precision Instrument,Fleet Footed*,Roar of Battle,Kill Tracker,Tier 2: Reload Speed*,,,,,,,
Forgiveness,1552443158,"""6917530146256001676""",archive,Legendary,4,Sidearm,trials,Energy,Arc,primary,449,Heavy Burst,Reload Speed,2,Vault,true,false,false,8,27,,96,90,56,58,12,0,0,0,47,325,26,24,44,0,0,0,0,0,0,0,0,25,33,0,0,false,0,0,,,,Heavy Burst*,Corkscrew Rifling*,Extended Barrel,Armor-Piercing Rounds*,Flared Magwell,Voltshot*,Tap the Trigger,Kill Clip*,Surrounded,Fleet Footed*,Roar of Battle,Kill Tracker,Tier 2: Reload Speed*,,,,,,,
Fortissimo-11,2821430069,"""6917529821455228407""",archive,Legendary,0,Shotgun,strikes,KineticSlot,Kinetic,special,410,Pinpoint Slug Frame,Stability,10,Vault,true,false,false,5,16,,55,57,70,66,12,0,0,0,76,70,50,5,61,0,0,0,0,0,0,0,0,1,45,0,0,false,0,21,suros,,,Pinpoint Slug Frame*,Arrowhead Brake,Corkscrew Rifling*,Assault Mag*,Tactical Mag,Perpetual Motion*,Opening Shot*,Vanguard's Vindication*,Suros Synergy,Kill Tracker,Quick Access Sling*,Masterworked: Stability*,Primer*,,,,,,,
Fortunate Star,2631466936,"""6917530138026457778""",archive,Legendary,3,Combat Bow,events,Energy,Void,primary,405,Lightweight Frame,Draw Time,10,Vault,true,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,66,0,63,0,72,0,557,52,0,0,0,0,0,20,70,0,0,false,0,1626,veist,,,Lightweight Frame*,High Tension String*,Natural String,Carbon Arrow Shaft*,Straight Fletching,Impromptu Ammunition,Repulsor Brace*,Destabilizing Rounds*,Sword Logic,Dream Work*,Veist Stinger,Kill Tracker,Masterworked: Draw Time*,,,,,,,
Fortunate Star,591672323,"""6917530138579344654""",archive,Legendary,5,Combat Bow,,Energy,Void,primary,378,Lightweight Frame,Stability,1,Vault,true,false,true,8,27,Solstice,52,77,68,0,18,0,0,0,65,0,71,0,96,0,567,39,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Agile Bowstring*,Tactile String,Compact Arrow Shaft*,Straight Fletching,Dragonfly*,Transcendent Moment,Archer's Tempo,Explosive Head*,Sword Logic,Archer's Gambit,Dream Work*,Veist Stinger,Kill Tracker,Tier 1: Stability*,Sparks Everlasting*,,,,
Fortunate Star,2631466936,"""6917530140357456837""",archive,Legendary,5,Combat Bow,events,Energy,Void,primary,404,Lightweight Frame,Stability,1,Vault,true,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,70,0,71,0,80,0,567,40,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Tactile String*,Polymer String,Compact Arrow Shaft*,Natural Fletching,Dragonfly*,Repulsor Brace,Transcendent Moment,Precision Instrument*,Destabilizing Rounds,Sword Logic,Dream Work*,Veist Stinger,Kill Tracker,Tier 1: Stability*,Achronal Fortunate Star*,Sparks Everlasting*,,,
Fortunate Star,2631466936,"""6917530140460680035""",archive,Legendary,5,Combat Bow,events,Energy,Void,primary,404,Lightweight Frame,Stability,1,Vault,true,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,59,0,71,0,91,0,533,30,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Flexible String*,High Tension String,Compact Arrow Shaft*,Helical Fletching,Repulsor Brace*,Killing Wind,Successful Warm-Up,Destabilizing Rounds*,Sword Logic,Demoralize,Dream Work*,Veist Stinger,Kill Tracker,Tier 1: Stability*,Achronal Fortunate Star*,Sparks Everlasting*,,,
Fortunate Star,2631466936,"""6917530141118231698""",archive,Legendary,5,Combat Bow,events,Energy,Void,primary,406,Lightweight Frame,Handling,2,Vault,true,false,false,8,27,Solstice,52,77,68,0,18,0,0,0,64,0,71,0,88,0,567,39,0,0,0,0,0,20,70,0,0,false,0,0,veist,,,Lightweight Frame*,Natural String*,Polymer String,Compact Arrow Shaft*,Fiberglass Arrow Shaft,Dragonfly*,Killing Wind,Archer's Tempo,Sword Logic*,Eye of the Storm,Demoralize,Dream Work*,Veist Stinger,Kill Tracker,Tier 2: Handling*,Achronal Fortunate Star*,Sparks Everlasting*,,,
Found Verdict,3197270240,"""6917529747044965406""",archive,Legendary,0,Shotgun,vaultofglass,Energy,Arc,special,10,Aggressive Frame,Handling,2,Vault,true,false,false,4,14,,75,37,80,36,12,0,0,0,32,55,46,4,51,0,0,0,0,0,0,0,0,2,34,0,0,false,0,0,,,,Aggressive Frame*,Rifled Barrel,Barrel Shroud*,Appended Mag,Light Mag*,Slideshot*,Frenzy*,Kill Tracker,Tier 2: Handling*,,,,,,,,,,,
Frozen Orbit,3473290087,"""6917529878260568932""",archive,Legendary,0,Sniper Rifle,crucible,Energy,Void,special,10,Aggressive Frame,Handling,1,Vault,true,false,false,4,13,,85,48,90,82,50,0,0,0,27,72,10,4,11,0,0,0,0,0,0,0,0,12,45,0,0,false,0,14,,,,Aggressive Frame*,Extended Barrel*,Smallbore,Extended Mag*,Flared Magwell,Killing Wind*,Snapshot Sights*,One Quiet Moment*,Kill Tracker,Tier 1: Handling*,,,,,,,,,,
Frozen Orbit,1516542120,"""6917530182660386467""",archive,Legendary,5,Sniper Rifle,,Energy,Void,special,459,Aggressive Frame,Range,2,Vault,true,false,false,8,28,,85,48,90,70,50,0,0,0,59,72,30,3,16,0,0,0,0,0,0,0,0,9,45,0,0,false,0,0,,,,Aggressive Frame*,Chambered Compensator*,Full Bore,Steady Rounds*,Alloy Magazine,Killing Wind*,Surplus,Lone Wolf,Vorpal Weapon*,Keep Away,Cascade Point,Roar of Battle*,Kill Tracker,Tier 2: Range*,Triumphant Pulse*,,,,,
Giver's Blessing,970034755,"""6917530144686289335""",archive,Legendary,4,Auto Rifle,kepler,KineticSlot,Kinetic,primary,200,Rapid-Fire Frame,Reload Speed,1,Vault,true,false,false,8,27,,67,84,18,33,16,0,0,0,64,720,45,54,34,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Smallbore,Appended Mag*,Armor-Piercing Rounds,Rewind Rounds*,Feeding Frenzy,Kinetic Tremors*,Zen Moment,Exhaustive Research*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,,
Giver's Blessing,970034755,"""6917530144689740124""",archive,Legendary,4,Auto Rifle,kepler,KineticSlot,Kinetic,primary,200,Rapid-Fire Frame,Reload Speed,1,Vault,true,false,false,8,27,,67,84,18,40,16,0,0,0,64,720,43,47,34,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Polygonal Rifling,High-Caliber Rounds*,Light Mag,Transcendent Moment*,Impromptu Ammunition,Kinetic Tremors*,Adrenaline Junkie,Exhaustive Research*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,,
Giver's Blessing,970034755,"""6917530144691251003""",archive,Legendary,4,Auto Rifle,kepler,KineticSlot,Kinetic,primary,200,Rapid-Fire Frame,Range,2,Vault,true,false,false,8,27,,67,84,18,46,16,0,0,0,53,720,42,47,29,0,0,0,0,0,0,0,0,16,57,0,0,false,0,0,,,,Rapid-Fire Frame*,Extended Barrel*,Polygonal Rifling,Alloy Magazine*,Light Mag,Rewind Rounds*,Shoot to Loot,One for All*,Zen Moment,Exhaustive Research*,Kill Tracker,Tier 2: Range*,,,,,,,,
Giver's Blessing,970034755,"""6917530144694770246""",keep,Legendary,4,Auto Rifle,kepler,KineticSlot,Kinetic,primary,200,Rapid-Fire Frame,Handling,10,Vault,true,false,false,8,27,,57,84,18,58,16,0,0,0,72,720,57,47,52,0,0,0,0,0,0,0,0,16,57,0,0,false,0,53,,,PVP,Rapid-Fire Frame*,Hammer-Forged Rifling,Smallbore*,Appended Mag,Light Mag*,Moving Target*,Feeding Frenzy,Kinetic Tremors*,Zen Moment,Exhaustive Research*,Crucible Tracker,Ballistics*,Masterworked: Handling*,Superblack*,,,,,,
Gjallarhorn,1363886209,"""6917529610890143314""",keep,Exotic,0,Rocket Launcher,30th,Power,Solar,heavy,403,Wolfpack Rounds,Magazine,10,Vault,true,false,false,4,15,,49,76,0,0,20,100,40,0,54,15,67,2,76,0,0,0,0,0,0,0,0,6,50,0,0,false,0,2748,,,,Wolfpack Rounds*,Volatile Launch*,Alloy Casing*,Pack Hunter*,Short-Action Stock*,Kill Tracker,Gjallarhorn Catalyst*,,,,,,,,,,,,,
Grand Overture,1763584999,"""6917529741946382519""",keep,Exotic,0,Machine Gun,seasonpass,Power,Arc,heavy,10,Wrath of the Colossus,,,Vault,true,false,false,5,16,,59,60,53,100,17,0,0,0,90,100,60,70,36,0,0,0,0,0,0,0,0,11,45,0,0,false,0,14,,,,Wrath of the Colossus*,Hammer-Forged Rifling*,Accurized Rounds*,Omega Strike*,Hand-Laid Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,,,,,,
Graviton Lance,3628991658,"""6917530008218413888""",keep,Exotic,0,Pulse Rifle,,Energy,Void,primary,200,Black Hole,Range,10,Vault,true,false,false,1,1,,85,60,29,90,17,0,0,0,100,300,57,30,49,0,0,0,0,0,0,0,0,27,60,0,0,false,0,2474,,,,Black Hole*,Hammer-Forged Rifling*,Accurized Rounds*,Cosmology*,Fitted Stock*,Kill Tracker,Graviton Lance Catalyst*,,,,,,,,,,,,,
Graviton Spike,648595258,"""6917530138966159311""",keep,Exotic,0,Hand Cannon,kepler,Energy,Arc,primary,410,Temporal Manipulation IV,"Stability, Range, Reload Speed",10,Vault,true,false,false,8,27,,95,85,80,70,16,0,0,0,65,150,60,13,65,0,0,0,0,0,0,0,0,18,57,0,0,crafted,35,514,,,,Temporal Manipulation IV*,Hammer-Forged Rifling*,Accurized Rounds*,Temporal Anomaly*,Smooth Grip*,Kill Tracker,Temporal Alignment Refit*,,,,,,,,,,,,,
Greasy Luck,1757202961,"""6917530004077270560""",archive,Legendary,0,Glaive,dungeon,Energy,Solar,special,10,Rapid-Fire Glaive,Shield Duration,2,Vault,true,false,false,6,21,,0,65,55,67,0,0,0,0,0,80,63,6,61,0,0,0,0,0,0,0,10,10,64,0,0,false,0,0,,,,Rapid-Fire Glaive*,Ballistic Tuning*,Supercooled Accelerator,Swap Mag*,Light Mag,Disruption Break*,Redirection*,Restoration Ritual*,Kill Tracker,Tier 2: Shield Duration*,,,,,,,,,,
Gridskipper,1621558458,"""6917529806681578045""",archive,Legendary,0,Pulse Rifle,servitor,Energy,Void,primary,10,Rapid-Fire Frame,Range,10,Vault,true,false,false,4,14,,85,85,23,48,18,0,0,0,57,540,35,35,37,0,0,0,0,0,0,0,0,10,55,0,0,false,0,3,,,,Rapid-Fire Frame*,Arrowhead Brake*,Polygonal Rifling,Ricochet Rounds*,Flared Magwell,Heating Up*,Snapshot Sights*,Kill Tracker,Targeting Adjuster*,Masterworked: Range*,Primer*,,,,,,,,,
Half-Truths,3257091166,"""6917529937602211340""",keep,Legendary,0,Sword,30th,Power,Arc,heavy,10,Adaptive Frame,,,Vault,false,false,false,4,15,,0,0,61,0,0,0,0,0,0,0,0,70,0,0,0,0,20,0,90,40,0,0,0,0,0,crafted,1,0,,,,Adaptive Frame*,Tempered Edge*,Enduring Guard*,Unrelenting*,En Garde*,Hot Swap*,Kill Tracker,,,,,,,,,,,,,
Haliaetus,2155534128,"""6917530146447797078""",keep,Legendary,5,Rocket Launcher,edgeoffate,Power,Strand,heavy,441,High-Impact Frame,Reload Speed,5,Vault,true,false,false,8,27,,59,70,0,0,20,96,46,0,72,15,36,1,64,0,0,0,0,0,0,0,0,7,37,0,0,false,0,0,,,,High-Impact Frame*,Volatile Launch*,Linear Compensator,Implosion Rounds*,Impact Casing,Grave Robber*,Envious Assassin,Cluster Bomb,Binary Orbit*,Bipod,Aggregate Charge,Bray Legacy*,Kill Tracker,Tier 5: Reload Speed*,Ferrous Haliaetus*,Sparks Everlasting*,,,,
Haliaetus,2155534128,"""6917530146452462903""",keep,Legendary,5,Rocket Launcher,edgeoffate,Power,Strand,heavy,452,High-Impact Frame,Velocity,1,Vault,true,false,false,8,27,,89,70,0,0,20,90,51,0,67,15,42,1,75,0,0,0,0,0,0,0,0,7,37,0,0,false,0,0,,,,High-Impact Frame*,Countermass*,Linear Compensator,High-Velocity Rounds*,Impact Casing,Auto-Loading Holster*,Cluster Bomb,Impulse Amplifier,Binary Orbit*,Bipod,Elemental Honing,Bray Legacy*,Kill Tracker,Tier 1: Velocity*,Ferrous Haliaetus*,Sparks Everlasting*,,,,
Haliaetus,2155534128,"""6917530147187062317""",keep,Legendary,5,Rocket Launcher,edgeoffate,Power,Strand,heavy,465,High-Impact Frame,Handling,2,Vault,true,false,false,8,27,,59,70,0,0,20,85,55,0,59,15,31,1,66,0,0,0,0,0,0,0,0,7,37,0,0,false,0,0,,,,High-Impact Frame*,Hard Launch*,Linear Compensator,Black Powder,Impact Casing*,Cluster Bomb*,Impulse Amplifier,Quickdraw,Binary Orbit,Aggregate Charge*,Hatchling,Bray Legacy*,Kill Tracker,Tier 2: Handling*,Ferrous Haliaetus*,Sparks Everlasting*,,,,
